Customer Name,Customer Email,Customer Phone,Address,City,State,Country,Product,Quantity Purchased,Total Purchase Value (USD),Purchase Date
Jeremy Baker,jamiemccarty@hammond.biz,(603)268-1238,"06614 Smith Court, New Kayla, NE 35234",Brittanyshire,Nebraska,USA,Sneakers,2,26.63,2024-03-08
Alicia Sloan,martinwilliam@gmail.com,201-782-2368x48456,"483 William Estates Suite 430, Vegaville, GA 02712",South Joshuaborough,South Carolina,USA,Backpacks,5,232.3,2024-09-05
Matthew Walker,imueller@brown.net,(762)882-7523x732,"50807 Eileen Lock, New Brettside, OH 33999",Shawnview,Idaho,USA,Hoodies,8,87.78,2024-09-22
Gina Harmon,ahamilton@hotmail.com,001-393-736-5695,"19027 Wright Expressway Suite 261, Brownhaven, NJ 71747",Mcdanielside,Wyoming,USA,T-Shirts,7,353.77,2025-01-11
Jodi Elliott,schroedermarissa@hotmail.com,124.035.1387x73639,"9628 Julie Curve, New Danielshire, UT 89745",Port Jessicamouth,Nebraska,USA,T-Shirts,8,433.9,2024-05-02
Antonio Cooper,nicolerobinson@hicks-brooks.com,366-843-3469,"30842 Angel Land, Antoniofort, KS 43236",West Michaelchester,Utah,USA,T-Shirts,8,219.43,2025-01-31
Lori Hernandez,brendavaldez@hotmail.com,333-999-2160x470,"15172 Michelle Inlet Apt. 994, Jerryhaven, SC 02846",Livingstonside,Ohio,USA,T-Shirts,8,494.21,2025-01-10
Isabella Wade,brownjane@gmail.com,606-530-7428,"51551 Anna Corner Apt. 791, Port Sandrashire, WA 49375",Nicolehaven,Rhode Island,USA,T-Shirts,8,258.13,2024-04-25
David Kelley,andre12@conley-leach.com,+1-486-663-4928x1238,"306 Stafford Plains Suite 323, South Taylorside, NV 10883",Starkhaven,Wisconsin,USA,Sneakers,3,380.01,2024-03-01
Sarah Sanchez,crawforddouglas@gmail.com,670.688.6614,"Unit 9914 Box 5702, DPO AP 39501",South Timothy,Tennessee,USA,Hoodies,1,196.0,2024-10-06
Bill Payne,christine41@hotmail.com,+1-071-339-7981x272,"824 Hernandez Streets, Marcusburgh, NE 51177",Port Kimberlyview,Massachusetts,USA,Hoodies,3,457.36,2024-10-18
Anita Paul,heidiwagner@martin-burch.org,(521)757-5280,"2122 Zachary Spring, Port Jason, CT 60713",Alexandrafort,Nebraska,USA,Hoodies,4,151.04,2024-06-23
Jennifer Good,lgeorge@gmail.com,(630)440-0599x422,"571 Ryan Lodge, Simpsonhaven, OK 49651",Lake Melissa,Massachusetts,USA,Sneakers,5,180.02,2024-05-04
Joseph Wilcox,melissa20@ortiz.com,001-703-894-5316x295,"95186 Samantha Island, North Tonyashire, PA 07225",Johnview,Texas,USA,Sneakers,9,147.29,2024-09-14
Lori Oconnell,hroy@yahoo.com,+1-091-267-4594x23178,"5785 Doris Hills Apt. 042, Torresport, DC 84039",Robertside,Indiana,USA,Hoodies,8,61.88,2024-07-10
Tammy Williams,wdiaz@snyder.com,473-210-5313,"95527 Natalie Alley Suite 197, Port Alexis, AZ 97236",West Troymouth,Iowa,USA,Sneakers,9,252.92,2024-05-27
Brett Carter,hardingdeborah@hotmail.com,386.487.4260,"84025 Barry Locks, Lake Savannah, SD 27328",Brianview,Indiana,USA,Backpacks,7,83.97,2024-04-23
Andrea Henderson,kwashington@gmail.com,(609)632-9179x49985,"805 Morales Ferry Apt. 507, Thomasville, NY 72286",South Jerome,Wisconsin,USA,Backpacks,3,163.91,2024-06-20
Mr. Thomas Estrada,matthew50@lewis.org,001-058-869-7820,"Unit 1076 Box 4682, DPO AA 38374",Sheltonbury,Indiana,USA,T-Shirts,3,64.23,2024-08-26
David Gonzalez,apreston@gmail.com,+1-245-947-4457x15673,"PSC 5524, Box 3075, APO AE 41280",Williamshire,New York,USA,Sneakers,9,106.89,2025-02-12
Kevin Thomas,ashley54@hotmail.com,746-153-6542,"057 Scott Harbor, West Cindyland, AL 23495",North Jessicastad,New Jersey,USA,Backpacks,10,355.52,2024-04-23
Ashley Young,brendagonzalez@robertson-page.com,001-085-375-0255x2588,"440 David Circle, Stewartville, KY 23526",New Scottmouth,Mississippi,USA,T-Shirts,6,392.5,2024-11-21
Eric Miller,melissabates@yahoo.com,119-137-4658,"078 Stacey Summit, Wilsonview, PA 41768",Timothyfort,Wisconsin,USA,Hoodies,4,317.83,2024-04-29
Angela Mcclain,shane07@thompson-gonzalez.com,(768)260-5878x520,"93441 Hernandez Lakes Apt. 460, Lambstad, CO 38741",Gilberthaven,Nebraska,USA,Sneakers,4,278.23,2024-03-22
Andrew Mitchell,brownbrian@carter.org,722.817.7023x1974,"USNV Lawrence, FPO AE 62554",North Kathy,Michigan,USA,Sneakers,4,196.01,2024-07-23
John Roy,dorseyanna@hotmail.com,+1-313-758-8642x14147,"93451 Brandon Meadows, Annestad, MT 44286",Jesseland,Arkansas,USA,T-Shirts,4,172.91,2024-09-16
Daniel Hooper,fostermarie@peterson-salazar.com,001-251-266-3978x0218,"630 Kelly Burgs, South Jonathanberg, LA 74919",Port Cameronstad,Virginia,USA,Hoodies,6,285.37,2024-09-03
Cody Thompson,lloydanthony@hotmail.com,+1-406-787-3378x845,"450 Elizabeth Lights, Howardfort, ID 64872",West Melissaside,Wyoming,USA,Hoodies,10,447.36,2025-01-24
Christina Jones,kylesnyder@gmail.com,001-325-212-7318x62622,"778 Jamie Ports, New Jasminefurt, CT 60904",Kristaport,Hawaii,USA,Backpacks,6,55.31,2024-08-20
Hayley Barnes,hendersontheresa@weber.com,977.681.0587,"0853 Welch Branch, Annamouth, RI 41011",Fletcherhaven,Oklahoma,USA,Sneakers,8,223.85,2024-04-17
Sophia Tate,smithjoseph@hotmail.com,674.199.5567,"082 Teresa Grove Apt. 976, Karenborough, GA 75035",Davidview,Indiana,USA,Hoodies,10,223.67,2025-01-08
Vincent Snyder,ujackson@yahoo.com,+1-319-338-6941x10135,"1764 Alexandra Estate Apt. 775, New Brent, MS 90549",Kathyville,New Jersey,USA,Sneakers,10,136.19,2024-07-05
David Harrison,stevensavage@hotmail.com,033-206-7388x881,"06040 Shane Tunnel Suite 981, East Matthewborough, DE 01890",Johnsonton,Minnesota,USA,Hoodies,4,105.3,2024-04-01
Corey Mora,pcook@hotmail.com,673-799-2038,"68531 Green Key, Riversmouth, PA 19518",Wadeberg,Tennessee,USA,Backpacks,4,23.2,2024-03-24
Elizabeth Flores DVM,ucoleman@gmail.com,+1-423-770-7121x188,"PSC 7813, Box 5714, APO AP 66434",Vazquezfort,North Carolina,USA,Hoodies,7,168.78,2024-09-07
Connor Barker,jtate@hotmail.com,(534)204-6502x13006,"237 Brian Wall, Jamiemouth, MT 12679",Robertport,South Dakota,USA,Hoodies,2,154.19,2024-12-07
Amy Richardson,antonio45@zimmerman-alvarez.net,199-143-1522,"66032 Matthew Mountains, New Grace, MO 54367",East Ashleyburgh,Utah,USA,Hoodies,3,233.23,2024-12-06
